%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1704780579721523898,9561,1704780579721142444,imu_link,-0.0018140749685935243,0.005053019155281083,-0.43693951774615286,0.8994748656639516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020943951023931952,-0.0013962634015954637,0.10943214410004444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14611908499999998,0.053936574999999994,9.800766009999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780579821863996,9562,1704780579821266743,imu_link,-0.001756521516334946,0.004615069007820617,-0.43199076575590434,0.9018645098194312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005759586531581288,-0.005585053606381855,0.11414453308042916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02745862,0.09120184499999999,9.757616749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780579921895827,9563,1704780579921589377,imu_link,-0.0016256318176028001,0.004530244997010751,-0.4267111352865234,0.904375166191524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006981317007977319,-0.006806784082777885,0.11641346110802178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059820565,0.173577705,9.876277215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780580021146798,9564,1704780580020711408,imu_link,-0.0017550556479274345,0.004088967063888965,-0.42181414369525977,0.9066714004018533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022689280275926286,-0.010122909661567111,0.10070549784007281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08629852,-0.022555295,9.789978694999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780580121249913,9565,1704780580120843470,imu_link,-0.0019207159102179027,0.003763140246800533,-0.4173796937004246,0.9087223673446224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008726646259971648,-0.006632251157578452,0.09896016858807849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050013915,0.09316317499999999,9.901774505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780580221533803,9566,1704780580221063228,imu_link,-0.0024513085892505157,0.00389087083605998,-0.41309123938497994,0.9106780332003834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006981317007977318,-0.002967059728390361,0.08691739674931762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038245934999999995,-0.067665885,9.74192611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780580321638336,9567,1704780580321254887,imu_link,-0.0027330086440019263,0.0037138523383524556,-0.4095123700656897,0.912292911694343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004363323129985824,-0.002967059728390361,0.07504915783575616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022555295,-0.028439284999999995,9.858625245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780580420731768,9568,1704780580420321344,imu_link,-0.0028174945583921487,0.0035443253893886095,-0.4061666777672991,0.9137877922983119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008726646259971648,-0.008726646259971648,0.06824237375297829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024516625,-0.06668521999999999,9.6889702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780580521062695,9569,1704780580520578893,imu_link,-0.0031725760844926363,0.0034025859903800697,-0.403613548471673,0.914917734367233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003490658503988659,-0.005759586531581288,0.046774823953448036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038245934999999995,-0.10100849499999999,9.962575735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780580621087838,9570,1704780580620643837,imu_link,-0.003365334940292598,0.0031906572343372228,-0.4015375722195683,0.9158308098787502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017453292519943296,-0.0013962634015954637,0.046076692252650306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09218251,-0.10198916,9.815475984999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
